Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
73,11766171,"Ling Ficz","2024-03-12 07:39:27",1.00000,2,lingficz
74,11765959,"INF2008 P1-Group 6","2024-03-12 07:42:10",1.00000,11,"bryantchia,julessqk,nicolekhwee,ongxinyee,peisheng888"
75,11766146,Tnayrb,"2024-03-12 07:42:14",1.00000,3,tnayrb
76,11766145,"INF2008 P1","2024-03-25 05:26:19",1.00000,6,xinyeexy
77,11766197,"[Deleted] b05166ef-ef76-4eaa-973a-f1bb80f015cc","2024-03-12 07:43:08",1.00000,1,del=8daffb5856fdfd40
78,11817345,"ICT2008 P6-Group 11","2024-03-26 10:48:35",1.00000,7,"cheryllllllx,elroysaihaosiong,larrissayeo,manavbhandari"
79,11776276,JIYINGTANTAN,"2024-03-14 13:38:17",1.00000,3,jiyingtantan
80,11761229,"Yingzi Shan","2024-03-14 06:20:26",1.00000,6,yingzishan
81,11776619,P2G9,"2024-03-18 08:09:46",1.00000,13,"anurag17017,eugenetjy,ngtenghui,palaniappansivabalan,randycheang"
82,11774462,"Valery Shelganova","2024-03-14 12:35:41",1.00000,2,valeryshelganova
83,11761102,"J A S","2024-03-20 13:01:45",1.00000,34,javieralfonsoseijas
84,11778110,"LAB-P7 - 4","2024-03-17 15:02:56",1.00000,6,"lingjunhian,maydayvesper40,sandra53,vernohiyas"
85,11779284,"Minchan Jung","2024-03-14 16:44:18",1.00000,1,minchanjung
86,11786068,INF2008-P7-G9,"2024-03-16 06:27:04",1.00000,5,"breadthesire,fatalxs,jasonyeosit,kitann,ljqsit"
87,11787265,"Mixop Dovesilo","2024-03-16 12:02:48",1.00000,1,mixopdovesilo67890
88,11785713,CaoZhonghui,"2024-03-17 06:22:17",1.00000,13,caozhonghui
89,11790014,INF2008-P6-Group8,"2024-03-19 12:58:51",1.00000,7,"chongyufengroyce,jiayetan,szehuitoh,vanessatxw,zyzyzyzyzyzyzy"
90,11788638,"[Deleted] c19e79a4-4b67-4fa5-993b-51297229597b","2024-03-17 08:26:05",1.00000,4,del=c107b57ed61c792d
91,11790613,INF2008_P1_Group5,"2024-03-19 08:42:34",1.00000,5,"chungyijun,genevievetan,loachunwei,sherbelle,tanlixin"
92,11786588,INF2008_P5_2,"2024-03-17 14:02:17",1.00000,19,"beatayeo,limxy00,r2303254,sweejunhong711,unknownhat"
93,6630994,"Tapendu Karmakar","2024-03-17 15:26:49",1.00000,6,iamtapendu
94,11792687,yue-joy-cheng,"2024-03-17 20:42:04",1.00000,3,yuejoycheng
95,11760244,INF2008_P1_Group2,"2024-03-18 03:09:53",1.00000,6,"tanyingxi,yapdaien,yeonjunfuirvin,youfling,yukieang123"
96,11794143,INF2008-P8-ADHOC_GROUP6,"2024-03-21 03:53:09",1.00000,7,"del=5197561b8ffa3383,del=7ebe9185c0817ecf,mibakto,whoistfq"
97,11730931,GurpreetSingh2512,"2024-03-18 12:29:50",1.00000,4,bunny11
98,11452176,Kotaro.Ozawa,"2024-04-16 11:42:22",1.00000,31,kotaroozawa
99,11013916,"Ryui Inui","2024-03-19 07:53:44",1.00000,1,hinataryu
100,11801460,SamuraiMate,"2024-03-19 10:44:01",1.00000,1,samuraimate
101,11799951,Cloulow,"2024-03-19 15:08:28",1.00000,3,lingweng
102,11783821,"INF1008 P1 Group 3","2024-03-19 16:34:17",1.00000,9,mikiyo
103,11805063,"ZeHong Ren","2024-03-20 03:22:59",1.00000,1,zehongren
104,11773353,"INF2008 P7-1","2024-03-20 08:24:14",1.00000,6,"enjiet,kenrickyeo,limzhihaodarius,ongjunhengjames,tjl081"
105,11806686,john_esj1,"2024-03-31 12:39:11",1.00000,15,johnesj1
106,11812989,"INF2008 P2-2","2024-03-23 06:01:24",1.00000,10,"ariffsanip,muhammadzulfadhlee,mysteryus,wongyexuneugene"
107,11778918,"INF2008 LAB-P2 - 10","2024-03-27 08:10:42",1.00000,17,"chuakaihan,damonic,ethanseowsit,gohyuejun13,simigui"
108,11819109,Usopked,"2024-03-23 01:58:47",1.00000,2,usopked
109,3995336,INF2008_AdhocGroup1,"2024-03-23 06:31:30",1.00000,3,"chesslogic,eugine01,guardsman,junhong31,nightey3s"
110,11820921,"Muhammad Taha Iqbal","2024-03-25 03:43:33",1.00000,6,muhammadtahaiqbal
111,11823339,"Ali #3","2024-03-24 07:50:30",1.00000,10,asalhi
112,11794778,"INF2008 A2_GroupP1-1","2024-03-25 05:54:28",1.00000,7,"jiaqichenchen,ngshuhyan,pochzhihua,siahliling,zongweitoh"
113,11829306,"Namansh Maurya","2024-03-25 14:34:00",1.00000,1,namanshmaurya
114,11830546,"Evgeny Bratkovsky","2024-03-25 19:56:29",1.00000,1,bratkovskyevgeny
115,11833078,"xiayu #2","2024-03-26 11:02:22",1.00000,4,moyudaduizhang
116,11838466,GrandMasterKim,"2024-03-27 12:43:58",1.00000,6,grandmasterkim
117,11842747,"MUHAMMAD ABDULLAH","2024-03-30 01:41:53",1.00000,25,abdmental01
118,11771237,jeremydady,"2024-03-29 05:32:48",1.00000,22,jeremydady
119,11838311,INF2008_P2-4,"2024-03-28 05:52:04",1.00000,6,"benjaminchiam,khairusyaidy,marhakim,muhdizharfazril,tiewwanteng"
120,11849492,"Gacor Bang","2024-03-29 01:50:28",1.00000,1,yolandarahmachrysti
121,11849513,ryyrnissu,"2024-03-29 01:57:59",1.00000,2,ryyrnissu
122,11826330,"INF2008 Ad Hoc Group 2","2024-03-29 10:56:25",1.00000,7,"ivanlee0801,kohmingyi,leeruyuan,sethteas,xueliangg"
123,11865969,"Renuka Oladri","2024-03-31 14:41:40",1.00000,1,renukaoladhri
124,11875299,Kesavadas,"2024-04-02 07:10:42",1.00000,1,kesavadas3
125,10880101,camellia1019,"2024-04-02 09:33:38",1.00000,8,camellia1019
126,11887477,JTEAGAN,"2024-04-03 20:46:50",1.00000,7,jteagan
127,11676135,江承瀚,"2024-04-04 14:16:29",1.00000,11,"faidavid,testingkaggle1028"
128,4889088,"Shirley Zhou","2024-04-05 03:36:50",1.00000,3,zhouxueqi1204
129,11908094,VeerShah1008,"2024-04-07 15:38:37",1.00000,8,"arslananzar786,veershah1008"
130,11895500,"tiago lima","2024-04-11 15:57:40",1.00000,24,tiagotlima
131,11450886,Nabe-camp,"2024-04-10 05:58:45",1.00000,5,nabecamp
132,11925266,"Zeyang Li233","2024-04-10 12:43:42",1.00000,3,zeyangli233
133,11924347,"K. Basri Kilci","2024-04-10 13:36:32",1.00000,9,kadirbasrikilci
134,4871356,"Manoj Kumar #7","2024-04-15 17:23:26",1.00000,9,manojkripee
135,11934242,"Thanh Quang Phan","2024-04-12 04:04:34",1.00000,3,thanhquangphan
136,11934262,Tequila1111,"2024-04-14 08:58:39",1.00000,5,tequila1111
137,11937940,"Yiguo L","2024-04-12 18:52:49",1.00000,3,yiguol
138,11938134,xu2_ann,"2024-04-12 20:02:52",1.00000,3,xu2ann
139,11938668,"Sharath Kumar Selvaraj","2024-04-12 23:54:03",1.00000,3,sharathkumarselvaraj
140,11943984,"Santhosh Raman Nair","2024-04-13 22:47:05",1.00000,4,santhoshramannair
141,11943998,XZhou222,"2024-04-13 22:55:13",1.00000,3,xzhou222
142,11944009,"Aakash Sharma #4","2024-04-13 22:59:05",1.00000,3,aakashsharma1103
143,11944108,CongyuWang238,"2024-04-14 00:03:19",1.00000,3,congyuwang238
144,11945009,"Lingfeng Guo","2024-04-14 06:05:14",1.00000,3,lingfengguo
145,11945697,"Rafael Dumatubun","2024-04-14 08:58:50",1.00000,1,rafaeldumatubun
146,11947268,"Maxime Boucher Trine","2024-04-14 15:18:38",1.00000,3,maximebouchertrine
147,10850522,"Kareem Ayman","2024-04-14 19:57:11",1.00000,1,queenlover
148,11948714,"Xinchun Li","2024-04-14 22:31:25",1.00000,3,xinchunli
149,11948726,"Dewang SHah","2024-04-14 22:39:52",1.00000,3,dewangshah
150,11948845,"Sagar Bhatnagar 04","2024-04-14 23:31:43",1.00000,3,sagarbhatnagar04
151,11949002,"Yanli Sun","2024-04-15 00:32:43",1.00000,3,yanlisun
152,11949264,"Tram Anh","2024-04-15 02:07:17",1.00000,3,tramanh22
153,11950435,"Preethi Reddy Dereddy","2024-04-15 06:55:45",1.00000,3,preethireddydereddy
154,11950550,"Sai Kumar Ravula1","2024-04-15 07:14:01",1.00000,3,saikumarravula1
155,11950639,"Vishnu Vardhan Reddy11","2024-04-15 07:31:13",1.00000,3,vishnuvardhanreddy11
156,11950683,"Arif Shaik1","2024-04-15 07:42:13",1.00000,3,arifshaik1
157,11950724,"Sohail Mohammed11","2024-04-15 07:50:24",1.00000,3,sohailmohammed11
158,11950759,"Mohammed Arshad Khan11","2024-04-15 07:59:40",1.00000,3,mohammedarshadkhan11
159,11950799,"Adil Mohammed1","2024-04-15 08:07:22",1.00000,3,adilmohammed1
160,11951323,"Fnu Adnan Khan1","2024-04-15 09:37:36",1.00000,3,fnuadnankhan1
161,11951390,"Rizwan Mohammed Abdul","2024-04-15 09:51:10",1.00000,3,rizwanmohammedabdul
162,11952696,"Muyi Niu","2024-04-15 14:23:50",1.00000,3,muyiniu
163,11953310,"Abhishek Thapa Kaji","2024-04-15 16:44:03",1.00000,3,abhishekthapakaji
164,11953617,"Boyuan Fang","2024-04-15 18:03:31",1.00000,3,trineboyuanfang
165,11953688,"Venkata Anuhya Vankadara","2024-04-15 18:19:26",1.00000,3,venkataanuhya
166,11953825,"Chen Yang #3","2024-04-15 18:50:30",1.00000,3,chenyang19961112
167,11953846,"Ziying Liu","2024-04-15 18:58:39",1.00000,3,ziyingliu238
168,11953851,"Sahitya Adapa","2024-04-15 19:00:02",1.00000,3,sahityaadapa
169,11953977,"Mengyuan Cen","2024-04-15 19:36:00",1.00000,4,mengyuancen
170,11953968,"Yiming Lyu","2024-04-15 19:58:15",1.00000,3,yiminglyu
171,11954172,"Kritika Bhondeley","2024-04-15 20:25:03",1.00000,3,kritikabhondeley
172,11954194,"Aditi Mangal","2024-04-15 20:31:54",1.00000,3,aditimangal94
173,11954202,"SIMENG MA","2024-04-15 20:35:28",1.00000,3,simengma
174,11954262,"Shiva Kumar Jangampally","2024-04-15 21:36:41",1.00000,4,shivajangampally
175,11954416,"ruixuan zhao","2024-04-15 21:45:21",1.00000,4,ruixuanzhao
176,11954445,"Yee Leong Tan","2024-04-15 22:03:12",1.00000,3,yeeleongtan
177,11954589,"Rithish Kumaran Sureshkanth","2024-04-15 23:07:43",1.00000,3,rithishkumarans
178,11954617,"Chenyu Sun221","2024-04-15 23:20:03",1.00000,3,chenyusun221
179,11954709,WendyLiu29,"2024-04-15 23:58:25",1.00000,3,wendyliu29
180,11954818,"Prachi Gadiwan","2024-04-16 00:45:17",1.00000,3,prachigadiwan
181,11954837,"Meng Li #3","2024-04-16 00:53:08",1.00000,3,lim169765
182,11954848,Yingluh,"2024-04-16 00:55:43",1.00000,3,yingluh
183,11954899,Shelley,"2024-04-16 01:16:45",1.00000,3,xungej
184,11954928,"Bimol Chandra Das","2024-04-16 01:27:14",1.00000,3,bimolchandradas
185,11954953,"bhaavani g","2024-04-16 01:33:39",1.00000,3,bhaavanig
186,11955313,"amruta ghube","2024-04-16 03:01:45",1.00000,3,amrutaghube
187,11955326,"Xingjian Chen","2024-04-16 03:04:28",1.00000,3,carlchen228
188,11955458,"Sami Yanggggg","2024-04-16 03:42:02",1.00000,4,samiyanggggg
189,11955616,"Tu Mingwei","2024-04-16 04:29:14",1.00000,3,tumingwei
190,11956348,"Minghan Wu","2024-04-16 07:25:19",1.00000,4,minghanwuaaa
191,11957092,"Lianjiang He","2024-04-16 09:48:00",1.00000,3,dyk520
192,11957201,"haoxun MRL","2024-04-16 10:07:30",1.00000,2,haoxunmrl
193,11959682,Raiselovell,"2024-04-16 17:51:49",1.00000,3,raiselovell
194,11959407,StellalalalaYY,"2024-04-17 01:53:36",1.00000,9,stellalalalayy
195,11959723,CJYang1505,"2024-04-16 17:59:22",1.00000,3,cjyang1505
196,11959731,"Nisha Magarati","2024-04-16 18:01:17",1.00000,3,nishamagarati
197,11959910,"Rakshana Pulli","2024-04-16 18:34:31",1.00000,5,rakshanapulli
198,11959952,"chang che","2024-04-16 18:41:21",1.00000,4,changche
199,11959968,kui.sam.lee,"2024-04-16 18:46:44",1.00000,3,kuisamlee
200,11960022,"Siva Sai Kiran Ankam ","2024-04-16 18:55:10",1.00000,4,sivasaikiranankam
201,11960024,"Suvarna Adwant","2024-04-16 18:55:32",1.00000,3,suvadw
202,11960063,Hemanthrajgarlapati,"2024-04-16 19:08:36",1.00000,4,hemanthrajgarlapati
203,11960103,hd1221,"2024-04-16 19:18:11",1.00000,3,hd1221
204,11960431,"YIFEI ZHAO","2024-04-16 21:02:59",1.00000,3,yzhao2313
205,11960484,"Kai Wu #2","2024-04-16 21:21:21",1.00000,4,kaiwu011
206,11960554,"xinyuan peng","2024-04-16 21:48:20",1.00000,3,xinyuanp
207,11960682,"Lokesh Eramoni","2024-04-16 22:28:34",1.00000,4,lokesheramoni
208,11960713,Pdhachepally23,"2024-04-16 22:40:58",1.00000,4,pdhachepally23
209,11960749,alexlanxy,"2024-04-16 22:54:47",1.00000,4,alexlanxy
210,11960759,"Kamidi Vineeth Reddy","2024-04-16 22:58:04",1.00000,4,kamidivineethreddy
211,11960771,bbjia123,"2024-04-16 23:03:15",1.00000,3,bbjia123
212,11960792,MohanKari5767,"2024-04-16 23:09:44",1.00000,4,mohankari5767
213,11960801,"Sricharani Garlapati","2024-04-16 23:12:30",1.00000,3,sricharanigarlapati
214,11960853,sumanthmv99,"2024-04-16 23:40:01",1.00000,4,sumanthmv99
215,11960878,"Chu Wang","2024-04-16 23:52:43",1.00000,3,cwang892uhn
216,11961009,"Ziyu Tang","2024-04-17 00:43:46",1.00000,3,ziyutang
217,11961059,"Chenyuan Zhang #2","2024-04-17 00:58:51",1.00000,4,zangcyuan
218,11960893,"Luyi Dai","2024-04-17 01:14:07",1.00000,8,luyidai
219,11961132,"KAVADAPU SUSHANTHREDDY ","2024-04-17 01:19:09",1.00000,4,sushanthkavadapu
220,4882793,connie,"2024-04-17 01:37:27",1.00000,3,connie2357
221,11961274,purav03,"2024-04-17 01:52:35",1.00000,3,purav03
222,11961293,Yojicr,"2024-04-17 01:56:42",1.00000,3,yojicr
223,11961352,"Anna Thy Nguyen","2024-04-17 02:15:18",1.00000,4,anna89
224,11961378,"zimuyang 123","2024-04-17 02:19:35",1.00000,3,zimuyang123
225,11961482,Yuge_Yao2024,"2024-04-17 02:39:12",1.00000,3,yugeyao2024
226,11961739,"Jiayin Wu","2024-04-17 03:19:14",1.00000,3,jiayinwu12
227,3674247,Gai7,"2024-04-17 03:26:17",1.00000,3,baitinggai
228,11961858,"pengdyu pengd","2024-04-17 03:45:33",1.00000,3,pengdyupengd
229,11961875,ldu231,"2024-04-17 03:45:39",1.00000,3,ldu231
230,11962001,ShanshanMa33,"2024-04-17 04:19:58",1.00000,3,shanshanma33
231,11962100,"Huixiang Li","2024-04-17 04:48:15",1.00000,4,huixiangli95
232,1879123,Whitchurch,"2024-04-17 04:57:49",1.00000,4,neoblackcyptron
233,11962191,"Weihang Hua","2024-04-17 05:13:44",1.00000,3,weihanghua
234,11962197,tacitshiba,"2024-04-17 05:14:31",1.00000,3,tacitshiba
235,11962264,"Sireesha bekkam","2024-04-17 05:29:57",1.00000,3,sireeshabekkam
236,11962277,"Enqi Zhang","2024-04-17 05:32:19",1.00000,3,oldbeijingr
237,11962300,kurumi233,"2024-04-17 05:38:22",1.00000,4,kurumi233
238,11962308,"Weiran Fu","2024-04-17 05:39:45",1.00000,4,weiranfu1
239,11962364,"Safi Uddin Mohammed01","2024-04-17 05:52:01",1.00000,3,safiuddinmohammed01
240,11962417,"Dinesh Reddy Gotika","2024-04-17 06:01:59",1.00000,3,dineshreddygotika
241,11962481,"Fnu Fazal UR Rahman","2024-04-17 06:12:41",1.00000,3,fnufazalurrahman
242,11962497,"Guangrun Han","2024-04-17 06:16:17",1.00000,3,guangrunhan
243,11962700,"Raoof Hussain Syed","2024-04-17 06:40:56",1.00000,3,raoofhussainsyed
244,11962939,"Tran HB Bui","2024-04-17 07:22:08",1.00000,3,tranhbbui
245,11963178,"Yang Liu #9","2024-04-17 08:02:47",1.00000,3,ericliu249
246,11963363,"Qinmei Du","2024-04-17 08:36:41",1.00000,3,qinmeidu
247,11963579,fanfrank2019,"2024-04-17 09:10:33",1.00000,3,fanfrank2019
248,11963771,"Muqeet Ur Rahman","2024-04-17 09:49:37",1.00000,3,muqeeturrahman
249,11964395,"Fnu Mohammed Abdul","2024-04-17 11:57:31",1.00000,3,fnumohammedabdul
250,11964419,"Atif Hussain Raja","2024-04-17 12:05:13",1.00000,3,atifhussainraja
251,11964493,"Kumar Raj Yengal","2024-04-17 12:16:22",1.00000,3,kumarrajyengal
252,11323697,"MOHANVENKAT SAI MEKALA","2024-04-17 13:33:26",1.00000,4,mohanvenkatsaimekala
253,11964982,JackLi55,"2024-04-17 13:54:26",1.00000,3,jackli55
254,11964988,"Tousif Ahmed Hassan","2024-04-17 13:54:50",1.00000,3,tousifahmedhassan
255,11965094,"Yuting Han #3","2024-04-17 14:18:59",1.00000,3,yhan0826
256,11965521,"Dave Chen #2","2024-04-17 15:33:05",1.00000,3,davechen1f
257,11965911,"Ramalingeshwar Jalla","2024-04-17 16:53:01",1.00000,3,ramalingeshwarjalla
258,11965985,"naibin zheng","2024-04-17 17:14:25",1.00000,3,naibinzheng
259,9733829,"faissal boutaounte","2024-04-13 10:55:42",0.99760,2,faissalboutaounte
260,11705689,"Kumar Arnav","2024-03-03 15:13:58",0.99282,2,arnavvvvv
261,11831857,"Elric Sims","2024-03-26 03:14:39",0.99043,6,abstractsqlengineer
262,11772455,INF2008_P6G9,"2024-03-29 08:25:19",0.98803,8,xxileena
263,11724249,"Byungeun Hwang","2024-03-25 13:06:31",0.98803,27,byungeunhwang
264,11933295,"Estefanie Jimenez","2024-04-11 22:05:30",0.98803,1,estefaniejimenez
265,11934494,"Arpita #3","2024-04-12 05:25:33",0.98803,2,arpita712
266,11102404,crown666,"2024-04-13 03:43:53",0.98803,1,crown666
267,11905088,Tokkii,"2024-04-14 02:12:24",0.98803,2,tokkii
268,5721453,"Md.Hamid Hosen","2024-04-14 04:34:22",0.98803,1,hosen42
269,11949670,eyears,"2024-04-15 07:39:33",0.98803,3,eyears
270,11955146,"Jerry Tanggg","2024-04-16 02:15:56",0.98803,1,jerrytanggg
271,9423789,"Carter Tran","2024-03-03 01:22:52",0.98564,1,cartertran
272,11803669,"Ayhm Dalila #2","2024-03-19 19:18:03",0.98564,1,ayhmakramdalila
273,11934808,"Ho Ka Fai","2024-04-12 09:40:33",0.98564,5,hokafai
274,11882799,"Andres Jimenez Arbelaez","2024-04-14 05:46:18",0.98564,6,andresjimenez9903
275,11949231,ZZZ-zzz413413,"2024-04-15 09:12:54",0.98564,3,zzzzzz413413
276,11908138,"Mihir Bhagat","2024-04-07 15:47:44",0.98325,4,mihirbhagat01
277,11941601,"xu zhu (mythZ)","2024-04-13 12:32:29",0.96889,2,xuzhumythz
278,11690253,"Zijian Chen","2024-02-28 07:00:52",0.89473,11,freezingorange
279,10619213,"Amir hosein Sedaghati","2024-03-05 21:00:00",0.87799,2,amirhoseinsedaghati
280,11760167,"Ирина Сафонова","2024-04-09 13:59:48",0.87320,31,irina0110
281,11179143,"jun nis (SWA1TY)","2024-02-23 08:54:12",0.85406,6,junnisswa1ty
282,11706495,Achselschweiss,"2024-04-14 11:41:06",0.84449,67,achselschweiss
283,11752760,"Jabran Zahid","2024-03-23 09:53:45",0.82775,60,jabranzahid
284,11903307,"Hari Kartik","2024-04-06 20:21:34",0.82775,10,harikartik
285,11685735,GeniusNefelibata,"2024-03-14 13:14:34",0.82535,38,geniusnefelibata
286,11775209,Constructor01,"2024-04-02 11:11:48",0.82535,21,constructor01
287,11840971,"Tianxuan Ding","2024-04-03 07:52:30",0.82296,30,tianxuanding
288,4457466,"SIVA RAMA KRISHNA PERUMALLA","2024-04-05 15:47:01",0.82296,1,rrr9029
289,11893874,ManiSeven,"2024-04-14 08:56:35",0.82057,18,maniseven
290,11945693,dsjkhfk,"2024-04-14 09:12:01",0.82057,10,dsjkhfk
291,11654575,sindhu_kondapu,"2024-02-21 14:02:05",0.81818,9,sindhukondapu
292,9165137,Stanislaus,"2024-02-24 14:39:52",0.81818,1,mstanislaus
293,11662445,gameline,"2024-03-05 07:04:50",0.81818,44,gameline
294,11749302,"yuki Neptune","2024-03-08 17:43:36",0.81818,8,yukineptune
295,11765387,INF2008_P3_G8,"2024-03-13 07:23:12",0.81818,12,"jabezmok,lucastbk,tkh123,tristangoo,yilinlau"
296,11782885,"hebin liang","2024-04-04 03:22:33",0.81818,15,hebinliang
297,11796959,M1254027,"2024-03-27 05:20:15",0.81818,18,m1254027
